ticker,effective_from,effective_to,source_ref,notes
A,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AAL,2019-01-02,2024-09-22,wikipedia_sp500_changes retrieved 2026-07-26,
AAP,2019-01-02,2023-08-24,wikipedia_sp500_changes retrieved 2026-07-26,
AAPL,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ABBV,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ABMD,2019-01-02,2022-12-21,wikipedia_sp500_changes retrieved 2026-07-26,
ABNB,2023-09-18,,wikipedia_sp500_changes retrieved 2026-07-26,
ABT,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ACGL,2022-11-01,,wikipedia_sp500_changes retrieved 2026-07-26,
ACN,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ADBE,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ADI,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ADM,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ADP,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ADS,2019-01-02,2020-06-21,wikipedia_sp500_changes retrieved 2026-07-26,
ADSK,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AEE,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AEP,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AES,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AFL,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AGN,2019-01-02,2020-05-11,wikipedia_sp500_changes retrieved 2026-07-26,
AIG,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AIV,2019-01-02,2020-12-20,wikipedia_sp500_changes retrieved 2026-07-26,
AIZ,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AJG,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AKAM,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ALB,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ALGN,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ALK,2019-01-02,2023-12-17,wikipedia_sp500_changes retrieved 2026-07-26,
ALL,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ALLE,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ALXN,2019-01-02,2021-07-20,wikipedia_sp500_changes retrieved 2026-07-26,
AMAT,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AMCR,2019-06-11,,wikipedia_sp500_changes retrieved 2026-07-26,
AMD,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AME,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AMG,2019-01-02,2019-12-22,wikipedia_sp500_changes retrieved 2026-07-26,
AMGN,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AMP,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AMT,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AMTM,2024-09-30,2024-12-22,wikipedia_sp500_changes retrieved 2026-07-26,
AMZN,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ANET,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ANSS,2019-01-02,2025-07-17,wikipedia_sp500_changes retrieved 2026-07-26,
AON,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AOS,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
APA,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
APC,2019-01-02,2019-08-08,wikipedia_sp500_changes retrieved 2026-07-26,
APD,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
APH,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
APO,2024-12-23,,wikipedia_sp500_changes retrieved 2026-07-26,
APP,2025-09-22,,wikipedia_sp500_changes retrieved 2026-07-26,
APTV,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ARE,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
ARES,2025-12-11,,wikipedia_sp500_changes retrieved 2026-07-26,
ARNC,2019-01-02,2020-03-31,wikipedia_sp500_changes retrieved 2026-07-26,
ATO,2019-02-15,,wikipedia_sp500_changes retrieved 2026-07-26,
ATVI,2019-01-02,2023-10-17,wikipedia_sp500_changes retrieved 2026-07-26,
AVB,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AVGO,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AVY,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AWK,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AXON,2023-05-04,,wikipedia_sp500_changes retrieved 2026-07-26,
AXP,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
AZO,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BA,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BAC,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BALL,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BAX,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BBWI,2019-01-02,2024-09-30,wikipedia_sp500_changes retrieved 2026-07-26,
BBY,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BDX,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BEN,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BF.B,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BG,2023-03-15,,wikipedia_sp500_changes retrieved 2026-07-26,
BHF,2019-01-02,2019-04-01,wikipedia_sp500_changes retrieved 2026-07-26,
BIIB,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BIO,2020-06-22,2024-09-22,wikipedia_sp500_changes retrieved 2026-07-26,
BKNG,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BKR,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BLDR,2023-12-18,,wikipedia_sp500_changes retrieved 2026-07-26,
BLK,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BMS,2019-06-07,2019-06-10,wikipedia_sp500_changes retrieved 2026-07-26,
BMY,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BNY,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BR,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BRK.B,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BRO,2021-09-20,,wikipedia_sp500_changes retrieved 2026-07-26,
BSX,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
BWA,2019-01-02,2025-03-23,wikipedia_sp500_changes retrieved 2026-07-26,
BX,2023-09-18,,wikipedia_sp500_changes retrieved 2026-07-26,
BXP,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
C,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CAG,2019-01-02,2026-06-29,wikipedia_sp500_changes retrieved 2026-07-26,
CAH,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CARR,2020-04-03,,wikipedia_sp500_changes retrieved 2026-07-26,
CASY,2026-04-09,,wikipedia_sp500_changes retrieved 2026-07-26,
CAT,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CB,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CBOE,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CBRE,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CCI,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CCL,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CDAY,2021-09-20,2024-01-31,wikipedia_sp500_changes retrieved 2026-07-26,
CDNS,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CDW,2019-09-23,,wikipedia_sp500_changes retrieved 2026-07-26,
CE,2019-01-02,2025-03-23,wikipedia_sp500_changes retrieved 2026-07-26,
CEG,2022-02-02,,wikipedia_sp500_changes retrieved 2026-07-26,
CELG,2019-01-02,2019-11-20,wikipedia_sp500_changes retrieved 2026-07-26,
CERN,2019-01-02,2022-06-07,wikipedia_sp500_changes retrieved 2026-07-26,
CF,2019-01-02,,wikipedia_sp500_changes retrieved 2026-07-26,
